Donor_smiles,HOMO_D(eV),LUMO_D(eV),Acceptor_smiles,HOMO_A(eV),LUMO_A(eV),PCE,Jsc(mA/cm2),FF,Voc(V),DOI
CC(SC1=C2C3=CC=C(OCC(CC)CCCC)C=C3)=CC1=C(C4=CC=C(OCC(CC)CCCC)C=C4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,-5.42 ,-3.36 ,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,-5.60 ,-3.85 ,10.80,18.10,0.59,1.01,10.1016/j.nanoen.2017.07.047
CCc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9ccc(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1,-5.26 ,-3.63 ,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc(-c5cc6c(s5)-c5sc(/C=C7\C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)cc5C6(CC)CC)cc32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2cc(-c3cc5c(s3)-c3sc(/C=C6\C(=O)c7cc(Cl)c(Cl)cc7C6=C(C#N)C#N)cc3C5(CC)CC)sc2-4)cc1,-5.50 ,-3.79 ,9.50,19.19,0.60,0.82,10.1039/C9TC00162J
CC1=CC(C(C2=CC=C(CC(CCCC)CC)S2)=C(SC(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C(C)S7)S4)S3)=C8)C8=C9C%10=CC=C(CC(CC)CCCC)S%10)=C9S1,-5.34 ,-3.44 ,O=C1C2=C(C=C(F)C(F)=C2)C(/C1=C/C(S3)=CC4=C3C(S5)=C(N4C(CCCCCCCC)CCCCCCCC)C=C5C6=C(OCC(CCCCCC)CCCCCCCC)C=C(C(S7)=CC(CCCCCC)=C7/C=C8C(C9=C(C\8=C(C#N)\C#N)C=C(F)C(F)=C9)=O)C(OCC(CCCCCCCC)CCCCCC)=C6)=C(C#N)\C#N,-5.67 ,-3.87 ,12.14,19.65,0.70,0.88,10.1016/j.cej.2021.128770
CC1=CC=C(C(S2)=C3C(C(C4=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C4C3=O)=O)=C2C5=CC=C(C6=CC7=C(C8=C(C9=CC=C(CCCCCCCC)S9)C(SC%10=C%11SC(C)=C%10)=C%11C(C%12=CC=C(CCCCCCCC)S%12)=C8S7)S6)S5)S1,-5.36 ,-3.43 ,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C5=CC1C32)C6=C(C7=CC=C(C8=C(C9=CC=C(C%10=CC%11C%12C%13=C%10C%14=CC=C(C(N%15C(CCCCC)CCCCC)=O)C%16=C%14C(C%13=C([Se]%17)C=C%12C(N(C(CCCCC)CCCCC)C%11=O)=O)=C%17C=C%16C%15=O)C=C9)N=C(C%18=CC=C(C%19=CC%20C%21C%22=C%19C%23=CC=C(C(N%24C(CCCCC)CCCCC)=O)C%25=C%23C(C%22=C%26C=C%21C(N(C(CCCCC)CCCCC)C%20=O)=O)=C([Se]%26)C=C%25C%24=O)C=C%18)C(C%27=CC=C(C%28=CC%29C%30C%31=C%28C%32=CC=C(C(N%33C(CCCCC)CCCCC)=O)C%34=C%32C(C%31=C%35C=C%30C(N(C(CCCCC)CCCCC)C%29=O)=O)=C([Se]%35)C=C%34C%33=O)C=C%27)=N8)C=C7)C=C%36C%37=C6C4=C([Se]5)C=C%37C(N(C(CCCCC)CCCCC)C%36=O)=O,-5.90 ,-3.74 ,7.47,10.50,0.65,1.05,10.1039/c9tc05643b
CC1=C(C=C(C(C(CC)CCCC)=O)S2)C2=C(S1)C(S3)=CC(C3=C4C5=CC=C(CC(CCCC)CC)S5)=C(C6=CC=C(CC(CC)CCCC)S6)C7=C4C=C(C)S7,-5.11 ,-3.25 ,O=C(N1C(CCCCCCC)CCCCCCC)C2=C3C(C4=CC=C3C1=O)=C(C=C2)C5=C(C4=C(C6=CC(C(N7C(CCCCCCC)CCCCCCC)=O)=C8C(C9=CC=C8C7=O)=C6C%10=C(C9=CC=C%11C(N(C(CCCCCCC)CCCCCCC)C%12=O)=O)C%11=C%12C=C%10)C=C%13C(N(C(CCCCCCC)CCCCCCC)C%14=O)=O)C%13=C%14C=C5,-5.87 ,-3.82 ,2.54,8.86,0.40,0.72,10.1039/C3CC47204C
CC1=CC(C(S1)=C2C3=CC=C(SCCCCCCCC)S3)=C(C4=C2C=C(C5=CC(C(OCC(CC)CCCC)=O)=C(C6=CC=C(C7=C(C(OCC(CC)CCCC)=O)C=C(C)S7)S6)S5)S4)C8=CC=C(SCCCCCCCC)S8,-5.39 ,-3.37 ,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC(C)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC(C)=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,-5.58 ,-3.96 ,11.90,18.90,0.63,1.00,10.1039/C6EE03489F
O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,-5.20 ,-3.63 ,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C5C(SC(C(OCC(CC)CCCC)=O)=C5F)=C(/C=C6C(C(C=CC=C7)=C7C\6=C(C#N)\C#N)=O)S4)=C2)(C8=CC=C(CCCCCC)C=C8)C9=C3C=C(C(C%10=C%11SC(C%12=C%13C(SC(C(OCC(CCCC)CC)=O)=C%13F)=C(/C=C%14/C(C%15=C(C%14=O)C=CC=C%15)=C(C#N)/C#N)S%12)=C%10)(C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17)C%11=C9,-5.42 ,-3.91 ,9.82,20.95,0.65,0.72,10.1002/adma.201803769
CC1=CC(C(C2=CC(F)=C(CC(CCCC)CC)S2)=C(SC(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C(C)S7)S4)S3)=C8)C8=C9C%10=CC(F)=C(CC(CC)CCCC)S%10)=C9S1,-5.45 ,-3.64 ,O=C(C1=CC=C(C)C=C1C/2=C(C#N)/C#N)C2=C/C3=CC4=C(S3)C5=C(C=C(C(SC(/C=C6C(C7=CC=C(C8=CC=C(C)S8)C=C7C\6=C(C#N)\C#N)=O)=C9)=C9C%10(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)C%10=C5)C4(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC,-5.74 ,-3.86 ,11.20,17.10,0.68,0.96,10.1007/s11426-019-9466-6
CC1=CC(C(S1)=C2C3=CC=C(SCCCCCCCCCCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCC)CCCCCCCC)N=C68)S5)S4)C9=CC=C(SCCCCCCCCCCCC)S9,-5.32 ,-3.08 ,O=C1C(C=C(F)C(F)=C2)=C2C(/C1=C/C(S3)=CC4=C3C5=C(C6=C(S7)C(C(C(C8=CC=C(CCCCCC)C=C8)9C%10=CC=C(CCCCCC)C=C%10)=C7C%11=C9C=C(/C=C%12/C(C%13=C(C=C(F)C(F)=C%13)C%12=O)=C(C#N)\C#N)S%11)=C(C%14=C6S5)SC%15=C%14C(C%16=C%15SC(/C=C%17/C(C%18=C(C=C(F)C(F)=C%18)C%17=O)=C(C#N)\C#N)=C%16)(C%19=CC=C(CCCCCC)C=C%19)C%20=CC=C(CCCCCC)C=C%20)C(C%21=CC=C(CCCCCC)C=C%21)4C%22=CC=C(CCCCCC)C=C%22)=C(C#N)/C#N,-5.83 ,-3.98 ,8.11,16.93,0.66,0.73,10.1021/acsami.9b08017
CC1=C(C(F)=C(C(OCC(CCCC)CC)=O)S2)C2=C(S1)C(S3)=CC(C3=C4C5=CC=C(CC(CCCC)CC)S5)=C(C6=CC=C(CC(CC)CCCC)S6)C7=C4C=C(C)S7,-5.22 ,-3.64 ,S=C(S/1)N(CC)C(C1=C/C(C2=NSN=C23)=CC=C3C(S4)=CC=C4C(C=C5)=CC6=C5C(SC(C7=CC=C(/C=C8SC(N(CC)C/8=O)=S)C9=NSN=C79)=C%10)=C%10C6(CC(CCCC)CC)CC(CCCC)CC)=O,-5.55 ,-3.71 ,7.49,14.46,0.51,1.02,10.1007/s40843-017-9059-3
