Donor_smiles,HOMO_D(eV),LUMO_D(eV),Acceptor_smiles,HOMO_A(eV),LUMO_A(eV),PCE,Jsc(mA/cm2),FF,Voc(V),DOI
CC1=CC=C(C(S2)=C3C(C(C4=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C4C3=O)=O)=C2C5=CC=C(C6=CC7=C(C8=C(C9=CC=C(CCCCCCCC)S9)C(SC%10=C%11SC(C)=C%10)=C%11C(C%12=CC=C(CCCCCCCC)S%12)=C8S7)S6)S5)S1,-5.36 ,-3.43 ,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C(C=CC=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C9)(C%12=CC=C(CCCCCC)S%12)C%13=CC=C(CCCCCC)S%13)=C8C=C6C(C%14=CSC(CCCCCC)=C%14)5C%15=CC=C(CCCCCC)S%15,-5.66 ,-3.93 ,6.43,11.70,0.59,0.92,10.1002/adma.201602570
CC1=CC(C(C2=CC=C(CC(CCCC)CC)S2)=C(SC(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C(C)S7)S4)S3)=C8)C8=C9C%10=CC=C(CC(CC)CCCC)S%10)=C9S1,-5.34 ,-3.44 ,O=C1C2=C(C=C(Cl)C(Cl)=C2)C(/C1=C/C(S3)=CC4=C3C5=C(C4(CC(CCCC)CC)CC(CCCC)CC)C=C(C6=C(F)C(F)=C(C(S7)=CC8=C7C(S9)=C(C(CC(CC)CCCC)8CC(CC)CCCC)C=C9/C=C%10C(C(C=C%11Cl)=C(C\%10=C(C#N)\C#N)C=C%11Cl)=O)C%12=C6N=C(C%13=CC=C(CCCCCC)C=C%13)C(C%14=CC=C(CCCCCC)C=C%14)=N%12)S5)=C(C#N)\C#N,-5.62 ,-3.87 ,12.32,22.91,0.69,0.78,10.1021/acsami.1c11412
CC1=CC(C(C2=CC=C(CC(CCCC)CC)S2)=C(SC(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C(C)S7)S4)S3)=C8)C8=C9C%10=CC=C(CC(CC)CCCC)S%10)=C9S1,-5.34 ,-3.44 ,O=C1C2=C(C=C(Cl)C(Cl)=C2)C(/C1=C/C(S3)=CC4=C3C(S5)=C(N4C(CCCCCCCC)CCCCCCCC)C=C5C6=C(OCC(CCCC)CC)C=C(C(S7)=CC(CCCCCC)=C7/C=C8C(C9=C(C\8=C(C#N)\C#N)C=C(Cl)C(Cl)=C9)=O)C(OCC(CCCC)CC)=C6)=C(C#N)\C#N,-5.62 ,-3.97 ,8.11,18.26,0.54,0.83,10.1016/j.cej.2021.131828
CC1=C(C=C(S1)C2=C(C(F)=C(C3=NSN=C32)C4=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S4)C5=CC=C(S5)C6=CC=C(S6)C)F)CC(CCCCCCCCCCCC)CCCCCCCCCC,-5.36 ,-3.71 ,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=C(C6=CC7=C(C8C(C7(C9C%10C=CC=C9)C%11=C%10C=CC=C%11)C=C(C%12=C(C%13=C%14C=CC%15C%13C(C(N(C(CCCCC)CCCCC)C%15=O)=O)=C%12)C%16=CC=C%17C%18=C%16C%14=CC=C%18C(N(C(CCCCC)CCCCC)C%17=O)=O)C=C8)C=C6)C=C%19C%20=C5C4=CC=C%20C(N(C(CCCCC)CCCCC)C%19=O)=O,-5.90 ,-3.83 ,6.30,10.70,0.57,0.98,10.1039/c4ee02990a
CCC1=C(C)SC(C2=CC3=C(C=C(C4=CC(CC)=C(C5=CC=C(C6=CC=C(C)S6)S5)S4)C4=NN(CC)N=C43)C3=NN(CC)N=C23)=C1,-5.16 ,-3.10 ,CCOc1cc(-c2cc(OCC)c(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)s2)c(OCC)cc1-c1cc(OCC)c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)s1,-5.48 ,-3.66 ,7.32,16.25,0.56,0.80,10.1021/acsami.1c00327
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C(C(OCC(CC)CCCC)=O)C8=C(C(C(OCC(CC)CCCC)=O)=C(C9=CC=CS9)S8)S7)S6,-5.23 ,-3.34 ,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC(C)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC(C)=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,-5.58 ,-3.82 ,11.38,17.90,0.71,0.90,10.1002/aenm.201801214
CC1=CC(C(S1)=C2C3=CC(Cl)=C(CC(CC)CCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCC)CCCCCCCC)N=C68)S5)S4)C9=CC(Cl)=C(CC(CC)CCCC)S9,-5.39 ,-3.45 ,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=C(CCCCCCCCCCC)C(SC4=C5N(CC(CC)CCCC)C6=C4C7=NSN=C7C8=C6N(CC(CC)CCCC)C9=C8SC%10=C9SC(/C=C%11/C(C%12=C(C%11=O)C=C(F)C(F)=C%12)=C(C#N)\C#N)=C%10CCCCCCCCCCC)=C5S3,-5.60 ,-4.10 ,12.31,23.77,0.61,0.84,10.1021/acs.macromol.9b01233
CC1=C(C=C(C(C(CC)CCCC)=O)S2)C2=C(S1)C(S3)=CC(C3=C4C5=CC=C(CC(CCCC)CC)S5)=C(C6=CC=C(CC(CC)CCCC)S6)C7=C4C=C(C)S7,-5.11 ,-3.25 ,O=C(N1CC(CCCC)CC)C2=C3C(C4=C(C5=CC=C(C6=CC(C(N7CC(CCCC)CC)=O)=C8C(C9=C(OCCOC)C=C8C7=O)=C6C%10=C(C9=C(OCCOC)C=C%11C(N(CC(CC)CCCC)C%12=O)=O)C%11=C%12C=C%10)S5)C=C3C1=O)=C(C(OCCOC)=C2)C%13=C(C4=CC=C%14C(N(CC(CC)CCCC)C%15=O)=O)C%14=C%15C=C%13OCCOC,-5.57 ,-3.84 ,0.83,3.43,0.30,0.78,10.1021/cm5006339
CC1=CC2=C(C(CCC(CCCCCC)CCCC)=C(C=C(C3=CC=C(C4=C(F)C(F)=C(C5=CC=C(C)S5)C6=NN(CC(CCCC)CCCCCC)N=C64)S3)S7)C7=C2CCC(CCCC)CCCCCC)S1,-5.36 ,-3.05 ,O=C(C(/C1=C(C#C)/C#C)=C\C2=CC(SC3=C4SC(C5=C6C=C(C7=C(C8(C9=CC=C(CCCCCC)C=C9)C%10=CC=C(CCCCCC)C=C%10)C%11=C(C%12=C(S%11)C=C(/C=C(/C%13=C(C#C)/C#C)C(C%14=C%13C=CC=C%14)=O)S%12)S7)C8=C5)=C3C6(C%15=CC=C(CCCCCC)C=C%15)C%16=CC=C(CCCCCC)C=C%16)=C4S2)C%17=C1C=CC=C%17,-5.45 ,-3.88 ,7.50,13.51,0.58,0.96,10.1021/jacs.6b12755
CC1=C(C(F)=C(C(OCC(CC)CCCC)=O)S2)C2=C(C3=CC4=C(OCC(CCCC)CC)C(SC(C)=C5)=C5C(OCC(CCCC)CC)=C4S3)S1,-5.15 ,-3.31 ,O=c(c1=Cc2sc(c3ccc(c4c5cc(c6sc(C=c(c(=O)c7c8cccc7)c8=C(C#N)C#N)cc6)cc4)c(C5(COCCOCCOCC)COCCOCCOCC)c3)cc2)c(cccc9)c9c1=C(C#N)C#N,-5.68 ,-3.92 ,3.09,10.31,0.38,0.79,10.1021/acsaem.8b00012
CCc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9ccc(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1,-5.33 ,-3.53 ,CCC1(CC)c2cc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc2-c2sc(-c3sc(-c4cc5c(s4)-c4sc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)cc4C5(CC)CC)c(F)c3F)cc21,-5.37 ,-3.76 ,8.23,16.39,0.58,0.86,10.1039/C8QM00609A
CCc1sc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6nn(CC)nc56)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F,-5.36 ,-3.42 ,CCC1(CC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CC)(CC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,-5.69 ,-3.91 ,6.40,13.50,0.65,0.73,10.1016/j.nanoen.2020.104861
CC(SC1=C2C3=CC(Cl)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(Cl)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,-5.52 ,-3.57 ,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(SC4=C5N(CC(CC)CCCC)C6=C4C7=NN(CC(CC)CCCC)N=C7C8=C6N(CC(CC)CCCC)C9=C8SC%10=C9SC(/C=C%11/C(C%12=C(C%11=O)C=C(F)C(F)=C%12)=C(C#N)\C#N)=C%10)=C5S3,-5.56 ,-4.11 ,14.00,25.40,0.66,0.83,10.1021/acs.nanolett.0c05045
CC1=CC(C(C2=CC(F)=C(CC(CCCC)CC)S2)=C(SC(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C(C)S7)S4)S3)=C8)C8=C9C%10=CC(F)=C(CC(CC)CCCC)S%10)=C9S1,-5.45 ,-3.64 ,FC(C(F)=C1)=CC2=C1C(C(/C2=C(C#N)/C#N)=C\C(S3)=C(C4=CC=C(OCCCCCCCC)C=C4)C5=C3C(N6CC(CC)CCCC)=C(S5)C7=C6C(N(CC(CC)CCCC)C8=C9SC%10=C8SC(/C=C%11C(C(C=C(F)C(F)=C%12)=C%12C\%11=C(C#N)/C#N)=O)=C%10C%13=CC=C(OCCCCCCCC)C=C%13)=C9C%14=NSN=C%147)=O,-5.54 ,-3.97 ,16.88,25.31,0.76,0.88,10.1039/D3TC00820G
CCC(CC1=CC(C(C2=C3C=C(C)S2)=C4C(SC(C5=CC=C(C6=C7C(C(C8=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C8C7=O)=O)=C(C9=CC=C(C)S9)S6)S5)=C4)=C3C%10=CC=CC(CC(CCCC)CC)=C%10)=CC=C1)CCCC,-5.48 ,-3.42 ,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C9=CSC=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C%14=CSC=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,-5.62 ,-3.96 ,12.22,18.11,0.70,0.96,10.1002/aenm.201802686
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,-5.33 ,-3.29 ,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC([Si]4(CCCCCCCCC)CCCCCCCC)=C(S3)C5=C4C6=C(CCCCCC)C(SC7=C8[Si](CCCCCCCC)(CCCCCCCC)C9=C7SC(/C=C%10C(C(C=C(F)C(F)=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C9)=C8C(CCCCCC)=C6S5,-5.42 ,-3.90 ,9.40,16.80,0.65,0.84,10.1021/acsami.8b17753
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,-5.54 ,-3.65 ,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C5=C(C(C6=CC=C(OCCCCCC)C=C6)4C7=CC=C(OCCCCCC)C=C7)C=C8C(C(C9=C8SC(/C=C%10/C(C%11=C(C%10=O)C=CC=C%11)=C(C#N)/C#N)=C9)(C%12=CC=C(OCCCCCC)C=C%12)C%13=CC=C(OCCCCCC)C=C%13)=C5,-5.67 ,-3.89 ,5.11,9.99,0.55,0.93,10.1039/c9tc02237f
CCc1cc(C)sc1-c1sc(-c2cc(CC)c(-c3sc(-c4cc(CC)c(-c5sc(C)cc5CC)s4)cc3CC)s2)cc1CC,-5.14 ,-3.14 ,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)s5)cc32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2cc(-c3ccc(/C=c5/sc(=C(C#N)C#N)n(CC)c5=O)s3)sc2-4)cc1,-5.46 ,-3.67 ,7.34,13.85,0.61,0.85,10.1002/adma.201606054
CC1=CC(CCCCCC)=C(C)S1,-5.00 ,-3.10 ,O=C1N(CCCOC(C)C)C(C2=C1C=CC(C#CC3=CC=C(C#CC(C=C4)=CC5=C4C(N(C5=O)CCCOC(C)C)=O)C6=NSN=C36)=C2)=O,-6.02 ,-3.32 ,0.11,0.55,0.29,0.66,10.1021/acs.chemmater.5b04551
O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,-5.20 ,-3.56 ,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C(C=CC=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C9)(C%12=CC=C(CCCCCC)S%12)C%13=CC=C(CCCCCC)S%13)=C8C=C6C(C%14=CSC(CCCCCC)=C%14)5C%15=CC=C(CCCCCC)S%15,-5.66 ,-3.93 ,8.50,16.07,0.67,0.80,10.1002/aenm.201701674
CC1=CC(CCCCCC)=C(C)S1,-5.00 ,-3.10 ,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC(C(C7=NN(CCCCCCCC)N=C78)=CC=C8/C=C9SC(N(C/9=O)CC)=S)=C6)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C=C(C%13=CC=C(/C=C%14C(N(CC)C(S\%14)=S)=O)C%15=NN(CCCCCCCC)N=C%13%15)S%12,-5.51 ,-3.55 ,5.24,7.34,0.70,1.02,10.1021/acsmacrolett.7b00097
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,-5.33 ,-3.29 ,O=C1C2=C(C(/C1=C/C(S3)=CC4=C3C5=CC(C(CCCCCCCCCCCCCCCC)(CCCCCCCCCCCCCCCC)C6=C7SC(/C=C8/C(C9=C(C8=O)C=CC=C9)=C(C#N)/C#N)=C6)=C7C=C5C4(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)=C(C#N)/C#N)C=CC=C2,-5.85 ,-3.89 ,5.67,12.70,0.56,0.84,10.1002/adfm.201802895
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,-5.41 ,-3.57 ,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(C4(C5=CC=C(CCCCCC)C=C5)C6=CC=C(CCCCCC)C=C6)=C(S3)C7=C4C(C=C(SC8=C9C(C%10=CC=C(CCCCCC)C=C%10)(C%11=CC=C(CCCCCC)C=C%11)C%12=C8SC(C=C%13C(C(C=CC=C%14)=C%14/C%13=C(C#N)/C#N)=O)=C%12)C9=C%15)=C%15S7,-5.41 ,-3.87 ,9.33,16.56,0.66,0.86,10.1021/acsami.7b06650
CC1=C(CCCCCC)C=C(C)S1,-4.85 ,-2.84 ,O=C(N1CC(CCCC)CC)C2=C3C(C4=C(C5=CC=C(C6=CC=C(C7=CC(CCCCCC)=C(C8=CC=C(C9=CC=C(C%10=CC(C(N%11CC(CC)CCCC)=O)=C%12C(C%13=CC=C%12C%11=O)=C%10C%14=C(C%13=C(OCCOC)C=C%15C(N(CC(CC)CCCC)C%16=O)=O)C%15=C%16C=C%14)S9)S8)S7)S6)S5)C=C3C1=O)=C(C=C2)C%17=C(C4=CC=C%18C(N(CC(CC)CCCC)C%19=O)=O)C%18=C%19C=C%17OCCOC,-5.23 ,-3.84 ,0.10,0.66,0.33,0.51,10.1007/s11426-015-5485-8
CC1=C(C(F)=C(C(OCC(CCCC)CC)=O)S2)C2=C(S1)C(S3)=CC(C3=C4C5=CC=C(CC(CCCC)CC)S5)=C(C6=CC=C(CC(CC)CCCC)S6)C7=C4C=C(C)S7,-5.22 ,-3.64 ,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=C(C5(C7=CC(OCCCCCC)=CC=C7)C8=CC=CC(OCCCCCC)=C8)C=C9C(C(C%10=CC=CC(OCCCCCC)=C%10)(C%11=CC(OCCCCCC)=CC=C%11)C%12=C9SC%13=C%12SC(/C=C%14C(C(C=CC=C%15)=C%15C\%14=C(C#N)/C#N)=O)=C%13)=C6,-5.50 ,-3.74 ,7.33,14.19,0.60,0.80,10.1021/acssuschemeng.7b03606
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,-5.33 ,-3.29 ,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(CCCCCCCCCCCCCCCC)(CCCCCCCCCCCCCCCC)C7=C8SC9=C7SC(/C=C%10C(C(C=CC=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C9)=C8C=C6C5(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC,-5.68 ,-3.84 ,11.20,17.30,0.70,0.92,10.1002/adfm.201802895
CC1=C(CCCCCC)C=C(C)S1,-4.85 ,-2.84 ,O=C(N1CC(CCCC)CC)C2=C3C(C4=C(C5=CC=C(C6=CC(C(N7CC(CC)CCCC)=O)=C8C(C9=CC=C8C7=O)=C6C%10=C(C9=C(OCCOC)C=C%11C(N(CC(CC)CCCC)C%12=O)=O)C%11=C%12C=C%10)C5)C=C3C1=O)=C(C=C2)C%13=C(C4=CC=C%14C(N(CC(CC)CCCC)C%15=O)=O)C%14=C%15C=C%13OCCOC,-5.61 ,-3.84 ,1.24,3.30,0.67,0.59,10.1039/C4CC08457H
CC(S1)=CC2=C1C(C3=CC=C(SCCCCCCCC)S3)=C(C=C(C4=C(S5)C(C(F)=C5C(OCC(CCCC)CC)=O)=C(C)S4)S6)C6=C2C7=CC=C(SCCCCCCCC)S7,-5.26 ,-3.61 ,O=C(C1=CC=C2C(C1=C3C=C4)=C4C5=CC=C6C7=C5C2=CC=C7C(N(C(CCCCC)CCCCC)C6=O)=O)N(N8C(C9=C%10C(C%11=CC=C%10C8=O)=C(C=C9)C%12=CC=C%13C%14=C%12C%11=CC=C%14C(N(N%15C(C%16=C%17C(C%18=CC=C%17C%15=O)=C(C=C%16)C%19=CC=C%20C%21=C%19C%18=CC=C%21C(N(C(CCCCC)CCCCC)C%20=O)=O)=O)C%13=O)=O)=O)C3=O,-6.01 ,-3.93 ,7.25,16.52,0.60,0.73,10.1002/aenm.201600060
CC1=C(C(F)=C(C(OCC(CCCC)CC)=O)S2)C2=C(S1)C(S3)=CC(C3=C4C5=CC=C(CC(CCCC)CC)S5)=C(C6=CC=C(CC(CC)CCCC)S6)C7=C4C=C(C)S7,-5.22 ,-3.64 ,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(CC(CC)CCCC)=C(S3)C(S4)=CC5=C4C(SC(C6=C(CC(CC)CCCC)C=C(/C=C7C(C(C=C(F)C(F)=C8)=C8C\7=C(C#N)/C#N)=O)S6)=C9)=C9C5(CC(CC)CCCC)CC(CC)CCCC,-5.40 ,-4.00 ,10.50,23.40,0.64,0.70,10.1021/acsenergylett.9b00721
O=C(C1=C(F)C2=C(SC(C3=CC4=C(S3)C(C5=CC=C([Se]5)CC(CCCC)CC)=C6C=C(SC6=C4C7=CC=C([Se]7)CC(CCCC)CC)C)=C2S1)C)OCC(CC)CCCC,-5.47 ,-3.85 ,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C(C=CC=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C9)(C%12=CC=C(CCCCCC)S%12)C%13=CC=C(CCCCCC)S%13)=C8C=C6C(C%14=CSC(CCCCCC)=C%14)5C%15=CC=C(CCCCCC)S%15,-5.81 ,-4.01 ,7.42,15.60,0.59,0.79,10.1021/acs.chemmater.9b01741
CC1=CC(C(C2=CC(F)=C(CC(CCCC)CC)S2)=C(SC(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C(C)S7)S4)S3)=C8)C8=C9C%10=CC(F)=C(CC(CC)CCCC)S%10)=C9S1,-5.45 ,-3.64 ,O=C1C2=C(C=C(F)C(F)=C2)C(/C1=C/C([Se]3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCC)CCCCCC)=C([Se]4)C6=C5C(N(CC(CCCC)CCCCCC)C7=C8[Se]C9=C7[Se]C(CC%10C(C(C=C(F)C(F)=C%11)=C%11/C%10=C(C#N)\C#N)=O)=C9CCCCCCCCCCC)=C8C%12=NSN=C%126)=C(C#N)\C#N,-5.63 ,-3.86 ,15.17,25.96,0.71,0.82,10.1039/D3CC02560H
CCC1=C(F)C=C(C2=C3C=C(C4=CC=C(C5=C6C(=O)C7=C(CC)SC(CC)=C7C(=O)C6=C(C6=CC=C(C)S6)S5)S4)SC3=C(C3=CC(F)=C(CC)S3)C3=C2SC(C)=C3)S1,-5.48 ,-3.64 ,CCC1(CC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CC)(CC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,-5.70 ,-3.92 ,12.02,18.17,0.70,0.95,10.1002/adma.201807832
CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,-5.50 ,-3.61 ,O=C1C(C=C(Br)C(Br)=C2)=C2C(/C1=C/C(S3)=CC4=C3C5=C(C(C6=CC=C(CCCCCC)C=C6)4C7=CC=C(CCCCCC)C=C7)C8=C(C=C(C(C(C9=CC=C(CCCCCC)C=C9)%10C%11=CC=C(CCCCCC)C=C%11)=C([Se]%12)C%13=C%10C=C(/C=C%14/C(C%15=C(C=C(Br)C(Br)=C%15)C%14=O)=C(C#N)\C#N)S%13)C%12=C8)[Se]5)=C(C#N)/C#N,-5.65 ,-4.02 ,9.60,16.40,0.69,0.85,10.1002/solr.201800250
CC1=CC(CCCCCC)=C(C)S1,-5.00 ,-3.10 ,O=C(N(CC(CC)CCCC)C1=O)C2=C(C3=CC=C(C4=CC=CS4)S3)C=C(C(N5CC(CC)CCCC)=O)C6=C2C1=CC(C7=CC=C(C8=CC=CS8)S7)=C6C5=O,-5.83 ,-4.12 ,0.19,0.81,0.34,0.71,10.1021/cm2019668
O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,-5.20 ,-3.60 ,O=C1C(C=C(F)C(F)=C2)=C2C(/C1=C/C3=CC4=C(S3)C(C(C5=CC=C(CCCCCC)C=C5)(C6=C7SC8=C6SC9=C8C(C(C=C%10)=CC=C%10CCCCCC)(C(C=C%11)=CC=C%11CCCCCC)C%12=C9SC%13=C%12SC%14=C%13C(C(C=C%15)=CC=C%15CCCCCC)(C(C=C%16)=CC=C%16CCCCCC)C%17=C%14SC%18=C%17SC(/C=C%19C(C%20=C(C\%19=C(C#N)/C#N)C=C(C(F)=C%20)F)=O)=C%18)C%21=CC=C(CCCCCC)C=C%21)=C7S4)=C(C#N)/C#N,-5.31 ,-4.06 ,11.20,23.30,0.69,0.69,10.1039/c9ta07917c
